HAUS,ANLAGE,ABLEINH,TOUR,ME_MA_ID,CITY1,CITY2,HOUSE_NUM1,POST_CODE1,EQUNR,ENTSCHEIDUNG,REGEL
"qnTLCNDgQWIlxAMjgmUilNAOSCQdSfNlSkj+kzH","CXLHsbAbtfbAfFalIASkZeaDGieASJnopTSViEu","J09B6505","J09B","WjUkLNPhUhYZD+/+/QncdGwMfBKtZQSkRtWTFZW","Meinerzhagen","Meinerzhagen","39","58540","gPCHFOWWAbzhhgAeVjOwRVZOWSKjQRtVUEArSRs","EVU","Standard nach Anzahl Stromzähler"
"/YgPeiOiRunQWXkLGowOYxOGDbWkzWTHWpblYUU","EUJZXvZtAXNRQkiQPzRZWAxHZahmQEMGVD/sNRj","J09B1611","J09B_J","qnvXRpVunQYMkgoLarBKeXsqhTphVnKGGQXWPWL","Hagen","Boele","14","58099","AdOuhyBJvblWkHogNVQFhMGWm/JhyPWwqZEQifV","KSA","Standard nach Anzahl Stromzähler"
"AscXSvhvucTVKF/ayPjheSerqmEvRfZUziTuJNr","oRRTxIVrsyTlWUTxQtCZcTLTEHoRpVSYdKWbiBR","J09B6503","J09B","WVUziCShaEugzYZnfopSXjTZLtmvbmEXGekRBSv","Meinerzhagen","Meinerzhagen","16","58540","GQCYpjFNcXxA/UivEHxNJmEofbXaZRuEbUTTpRP","EVU","Standard nach Anzahl Stromzähler"
"ARbeRQqLakQScHuqrPnSLCLxYwClM/tZdSWOeQh","ifQrdNZKRGGwgyDNbRRwS+zVrXhcLQoKMUiLcxd","J09B6251","J09B","ZdTXvpDgANSWpKBeOTMHdMvkGLTcna+OnlWMMUS","Plettenberg","Bremcke","16","58840","IOhvflgSR+UaB/IItwqjApZyRY+eFdlEfiQIEOv","EVU","Standard nach Anzahl Stromzähler"
"JqIoUGmujUW/TogXVJyQxZtSdtqqhnyGNgdVmHw","VCyXQmKRLXwVCLRdQdgUwZOIpvifGZIuTYrrdiA","J09B4011","J09B_L","ZCKfqfJVG+Gxx/OMJfURqRVgzfQAUWSmTuvv/PQ","Lüdenscheid","Lüdenscheid","42","58507","/LYAQSYVHdZQxVCOQKTsAgVZXmjUNGI/kUd+Xgn","EVU","Standard nach Anzahl Stromzähler"
"mIRShpFYGIzwWKwSWwi+uUXkZOeBDPkNwqOiWaU","BymUdZgZSKSVWXVwvb+YWXl+JLCexTXOZyEjqJG","J09B1541","J09B_J","GmEJCzXXxOItGUylYatSBdmmLRyWZkQpMQWcGUu","Hagen","Altenhagen","34","58097","ptUTAmXSxpB/GUliyASlwTWRfMRLTECUWoDbJtW","EVU","Standard nach Anzahl Stromzähler"
"IgVdpNETcXXAlUEnHTTTieZwuWy+DFhsQdTPspc","Tj/uxrcok+YnOpeUh+RWMZUUGXQJbZEmpUQnJ+q","J09B1701","J09B_J","ZCKkWPOmMXP/xpGdYJUAzUZZXXdtUwjWIhv/spr","Hagen","Vorhalle","9","58089","NSXJtEnYWtqZaJsREiWIscYLZpIoozia+bRWUgP","EVU","Standard nach Anzahl Stromzähler"
"BWmvLURRQgZSckZYqoANvAFIhVWWjgCcSZZHejy","SXXGdORTsMZVAKrPphSwTQvpwUTekVWgboVlZZB","J09B6206","J09B","qMQXSFJwym/hQXsviNeZ+AvVUUdTiVsNxnMXFxg","Plettenberg","Plettenberg I","11","58840","QfFNWSVtXTRDQkZWVZLKwjBq/YFrUAacMJdVQCc","EVU","Standard nach Anzahl Stromzähler"
"wTbYqvUcKQVQW+WYdIYpWLCyvPcaATNACGCW+Uv","Fpr/rkTRTOHTAsVfetVSYXjBSWrjasXzZycAIVj","J09B1612","J09B_J","XtomxERWYiPViujDddNPDnytToBfQTYvSyepkRO","Hagen","Fley","16","58093","VSRQPvQ+MrNaOlAHScTXKUBGvZjThFXVtFooXGa","KSA","Standard nach Anzahl Stromzähler"
"D+HAeAJmTZtCnFTTryQRUUQSEWola+AWUuUZjDk","bAoW+U/sFQtRSStvaVzOPrrFJVPvyocI/aYakMy","J09B4011","J09B_L","nsLIpRVgEPGydnOZJuhSYxZEBqCGWXzvGPCmoAO","Lüdenscheid",,"5","58507","MoAvsXKvDm+dXTQYzsyndksRQROkxTyUl/maGyT","EVU","Standard nach Anzahl Stromzähler"
