Installation,Installation type,Record created on,Object changed on,SPARTE_TEXT,AKLASSE,AKLASSE_TEXT,TARIFTYP,TARIFTYP_TEXT,BRANCHE,BRANCHE_TEXT,ABLEINH,ME_MA_ID,HAUS
"SGSoAARtuyWJhCACUNsSzjPawwSTDfhUPCKuYAO","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1622","YRmCimSbdZkscMGIqjRrXTYOyECisrKQtkUNRsE","zkoKDQlFwA+WJSYUPRdZTkTVRpRpxZEgfoZRSvV"
"ZuXCYWKYzljFgjRxEbtNZkRWRnYzgBUhmlbzGwn","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1621","ZXRR+FYFqjhZjiybWJSdGr/ylhleYQhWsNTZpnq","aRkaClQaUmVXtVIYZUWB/iWWUjBclFHTUTnbCSL"
"GVUAsBXLxET+pUBjSUaKeXIYCHu/TuwZXzdmxeU","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6103","tcjaNWPLtmQewUMtXxNwT/kqCXWEQVEpZ+boVIa","zfkWYUKtS/MXhFHcccRGihLvWVHvumApOFoEJZU"
"fRUnldIQHVUnuQlGNb/kEViqbqztYWTdsHRjN+E","ALLG",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 953","Gemeinschaftseinrichtungen in Mehrfamili","J09C5082","VDpWQncXrK/ZoOUAUEgmBnqQSZEiokOjBxYcEng","yMKTfxsKZikfOZETlg/TgnOyfTbvTtinXAKsdPT"
"ZXnYWCjUQTZUEFIDkZYKb+eZFQTXlqZUofJkxUD","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5082","WkTQnHSsqNdaaplqpfQmYVwQlsUdVaLnqSVfwyH","j+bCYrQTUHXJUUWJKGsxeieuXBXsRstZlXlxscc"
"QWJIKy/uGeIhKV/jrvKcWAKYOORBAIPhwkZLJYi","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6104","QQZHFEKqswtfLdUPPzsTnKOXBwJUyTdVaYQWAeh","fTSvkUl+HGsTORFhbrJZKaUPRYWYZfHRMtzvToF"
"OYTuEuVilKsPXl/ZMJRTsWTGWVJctJuWQXdsMvS","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6102","WQTiHfycvBEjwhlgjCcmVBWhbMQlK+veBldwtBR","aDHIqvhKSuzGoAOxOjCWjWhwhjphCcSazVRpKIy"
"ZRnQcVoXrRtKRxEupBtLLwhdwYZUofHyVVSJKdb","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1621","SNTjIQWbkEzzFXypcdUyBQOBUyfAq/SqgcMOfds","XRTFbYHunIhRJrIJZijWkLf/qQXjVRmClsMDPSa"
"XwUehLNnbkTRSxzlRxfXmEnS+sZLxZOK+SJRZoX","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1622","qYGSvufzLYgSevhVztUaJmDtWoQBmvgv/JnTJON","u+TLaMoWYtcHMeSKYuUwNGS/UAkTXvHTHgwRdEv"
"HYcdGeYIaAsYLwhIIoAWZgpMESXiHzCohZ//Py+","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5485","qsQ+JDrlNuYQaesSbQRLKBWvorSPyJ+hIpNoTPA","fuYlLGYALT+WneKl/RBmU/sCekWVIYLMhoOWqeY"
