HAUS,ANLAGE,ABLEINH,TOUR,ME_MA_ID,CITY1,CITY2,HOUSE_NUM1,POST_CODE1,EQUNR,ENTSCHEIDUNG,REGEL
"KVkQaSCYQbjKzZy+NFXIiTYEWldfZVRGKBSkljJ","wcpVSXA+ckA+WYddBBEuU/jvTxCYQpq/hAQhJNp","J09D4011","J09D_L","oZezUKGOldYrlTnTcOZdGUQIDLwTUePRXZO+RuU","Lüdenscheid","Brügge","25","58515","nvkwVEKzZZAkmKPeRZmnDAGWkIQTddQMUgtLNCL","KSA","Standard nach Anzahl Stromzähler"
"yjHkddTYdZYXYVZhHdoCZufiFoXKNkqZSNv/mjk","NpYyBQiYrrtUmfYKApozZdUVZUaZsmvCpilzAUc","J09D3301","J09D_J","/taSnaZxjSHRdyij/CDhPkcbUf+kTzxsCoQUyyd","Hagen","Garenfeld","1","58099","toYRigXrcuJGMrIvKaWRJlGewkvkcjyYuP/wxtE","EVU","Standard nach Anzahl Stromzähler"
"sXTiSxKUSuoWZ+cpFTlLTErTZYrpWmDVMZcUSPW","nlVyzGZbUeizRvJkiZUJJQhqUTbyuWFvUKEVAkV","J09D3012","J09D_J","SHUFAGpTmWOAWOpmFPUEYQolVNVVVQs/GaeSSSb","Hagen","Hohenlimburg","23","58119","zTBWBBFVUxVbbYRzMTWLGzlfhNpEFdnIsHgQzUx","KSA","Standard nach Anzahl Stromzähler"
"RzUcMxrYaG+KIVVRPWUjm+tBeETxrvnWfTcGTCk","NWjoQmWylnRHUsyYfTnkSXV+pl/pqmAYv/QucGW","J09D6241","J09D","zBAIRFomkRUUzDkUUeTfUOWBVpRpXUqfU/sjSvU","Plettenberg","Plettenberg I","170","58840","pScoUdXVcLVWrGZYShTVwy+RpLSobYroRtY/NRY","KSA","Standard nach Anzahl Stromzähler"
"UxMDdRjWhtRDaTtUWKZaRrCXptpXyFDQECDcGlt","MXWWONIHsoVSWUEAXw/ERnYPWkdOQtqtHqIXyZm","J09D3012","J09D_J","AWZ/lmPjvagkfYYyleRXWTUZbfXkzEdOQbxZlhI","Hagen","Hohenlimburg","11","58119","'+inbPdbslKMcCYZQFqhPpRKuIxpofrkMIJHDAep","EVU","Standard nach Anzahl Stromzähler"
"PDWUTUQQGgFlYBJwmKTDxHIsrMvQGgHsU+HSeTk","CCvYFyQATlZtRWjizgOwyzSelNngcMZCAHkaXRx","J09D4011","J09D_L","BBvcFD/ZfFBVxsWqofHnquzWzXjOikbvLBaCmTX","Lüdenscheid","Winkhausen","2","58515","IXOY+BsUtU+ZFygERboqdomaEEQSXVXqjQvLBKK","EVU","Standard nach Anzahl Stromzähler"
"qjFXzfDBdXImSSoUWWVShQZJFVWAEiS+bVFzTw+","JeAAacpazXZBBZeTAVYSzIsyYWfgIvazcVqpXwG","J09D7025","J09D","ldtZHAGAVSFGZAQWfEERSnRxWcgJRUuvbp/xYpX","Herdecke","Ende","71","58313","phXZUfYtREZUfpZnRCRFcUyYyux/FTRfPwTMOWt","KSA","Standard nach Anzahl Stromzähler"
"UakjJNqmbsNEGDGTVjXVxxtmsXfrajvZ/uV/ofG","xQULcZDWmVuBvRjTlNSQViFBEPActgFKOtJDPSr","J09D7025","J09D","FjTRjwEYWgUkLIlQlLnvjtfaRUzPXnHsSwMWZTh","Herdecke","Ende","127","58313","RtwsIdRQQWABSRsJKgSsqTWISYvJKOMw+IUUSxZ","KSA","Standard nach Anzahl Stromzähler"
"wIPxoYs/asXKWBUsEKSapsaBhWFZqbV+qkjMaUL","lcxweWlpdZireUCJNQReolq/fZCRWnAANSXCSyX","J09D7023","J09D","DUXw+K/AtQtWRPS+iQwqzPKJMQQUkdVXFZCkhNr","Herdecke","Ende","23","58313","XHSnIlfwUP/YsicfoBDtcKWSXWRXTQY/ZLouGeT","KSA","Standard nach Anzahl Stromzähler"
"YVPhUZXUSZtnuTn/Bcfe/EUpJZaTODCmtyB+AjI","UyQfIGaZydAUFCgphWiNZXTX+vHwSRnoOYxvkQQ","J09D7025","J09D","GRQoFQRCDmQ/zMtcXx/hUPTXHyKcaEeLQCRdqVt","Herdecke","Ende","71","58313","VZ/MgXTGBV/Eex/Sy+fECARoYEshfsJEGHpwhrZ","KSA","Standard nach Anzahl Stromzähler"
"lRpNSlVYAfehyry/dcLzShvPkmUXYXTqmiIZSZQ","iposdZSVTzrENLWURtSYUUVYSXaXSETQWurV+Xs","J09D4011","J09D_L","jtiflXgflnZcAabUXupuYpURwqYmdEQuWQAUVJl","Lüdenscheid",,"18","58509","iZxfTXSFNTXdQwBYzUUisWGUZXaMXIspBTaOMPV","KSA","Standard nach Anzahl Stromzähler"
"rXWOFYNDz/aUWR+NUUyElYTbOzSOT/ghEpYKIeg","SMWpzUtynQIUoGUWkrIlU/xQqfgfTYKfDncNWWa","J09D3011","J09D_J","sdYQrUYTVlTEBBJUHXEFcARKYFVWwSejDbtYjXs","Hagen","Hohenlimburg","17","58119","bNWURfrdfCWrfESvLUOAYQe+INXlQuxSPdsvkhT","EVU","Standard nach Anzahl Stromzähler"
"YqehIRoarIcqXWoLoysQZWuGMdKMpDzxEtLuVaN","MXSSSMevCSTfjPQzMTpPQXd/fBSrBBXDPPHwScM","J09D4011","J09D_L","YOOI+T/wZCaoATGSXWDXgurZSkddOnKZmZnWXqU","Lüdenscheid","Brügge","6","58515","uWSohoVUoTSWuvxVo/TCRZ+PDWWMjlbeyv/Nmos","EVU","Standard nach Anzahl Stromzähler"
"qHIHOEXoWaSIYhZDoDSjnmxZSTHrDnibrAUOr/C","ZPSRnzfiNRUakxuQayEXRmSEGHQeNsQTk/LrWIP","J09D6243","J09D","pjrtpWQJQHxgzNaSfxaZvGFSejvlHJVngBvqXRG","Plettenberg","Holthausen","41","58840","hWURWDCULsGmtYDPWTeTRqBOKkSCDUSltRhAJst","KSA","Standard nach Anzahl Stromzähler"
"WvkWATVsVOuElRXugpEPfzXhsUWEaHSPTdXYOgF","IjSxFkUodQVHPanTM/kZqOwwpdwkaHQLTQPi/BK","J09D3301","J09D_J","dWYyaq/EZvXWtaYFbCThadzrHlCbFNUuAeTIG+R","Hagen","Garenfeld","21","58099","YZwARYkHWRYPCCbVBHmiUSSOmlCxEhOqtGpRuTp","EVU","Standard nach Anzahl Stromzähler"
