HAUS,ANLAGE,ABLEINH,TOUR,ME_MA_ID,CITY1,CITY2,HOUSE_NUM1,POST_CODE1,EQUNR,ENTSCHEIDUNG,REGEL
"X/MSvNIQdfnSxO+nQKZQpOUObqIKT+xYKVUtCcR","qsIeXSDGUtBAUSKVXsXCbomWYSSWvu/ySLjJYBW","J09A1704","J09A_J","xBiARiZvgajYJoApXvEscsTqlYTZhvFUKRRRdKT","Hagen","Vorhalle","19","58089","ylLEOH+yRVyMiYFfjgzxlXajJ/sRR+ZPwvWBRJB","EVU","Standard nach Anzahl Stromzähler"
"zMzEINFtZgVxSFpLQuWLLWxTEMYbTSFcMUWiYV/","/lqU/QIqbMYiSBGgHMLVKRkgZywFvtinYZgrtFJ","J09A1702","J09A_J","pYLoUVzuGncrDnWgiDxzHcYPp/nu/QUOaZAQzpq","Hagen","Vorhalle","12","58089","NhZvzUbJDQiCylNXpl/QOoQkCFCGkUmhZgKRAYU","EVU","Standard nach Anzahl Stromzähler"
"QmWSUUTVZUNalHqWj/NtMeIMWYxXGYRVZahRVWQ","vLOPaGhDVDpktxsbPUlyHazTVNonSXAmp/WgWCM","J09A6105","J09A","iXTPtLNYwPKXLvYQCoisRKVeQtJBhTgHQaWWuom","Neuenrade","Neuenrade","13","58809","SRRZpcMDYsdBQbouTKSxvy+kIsfSVGrRZzqTXEL","KSA","Standard nach Anzahl Stromzähler"
"ObXSYWMZUYGRgGTmQLnQYeXVVSOTVEBmivcjXFY","CGFtATqsSldMFdSkVVDOx/VOXTyQjupwvKbTRQY","J09A4011","J09A_L","TWsDpCVYkFyxHBAbEjYVqRFteBflyqCThkSZAR+","Lüdenscheid",,"5","58515","iZRZUkDrBefLiWYuTuQXLKllNIGpBTSreYeXewR","KSA","Standard nach Anzahl Stromzähler"
"IVQhRsOXBW/PfRjYQFZWGHXMbFzvrEbpbSYq/OM","NRNVgrVIB+flZCgSbZgzPUtwBUZRcPINTXELRhU","J09A1701","J09A_J","UD/FpZvDkYH/tsQJLzImqAxQnBVVnJpvUTYgSSW","Hagen","Vorhalle","33","58089","obhGBcUbUhMYSITYuYlsecdVNHBogUYYDYkXWmW","EVU","Standard nach Anzahl Stromzähler"
"MRwWuhwGgeQVCFpTSeDZqXULEVWsfHNyHMEYret","QHAzmVYSVJvjTUOdVgQSipKushmzGRYiEEKVUTr","J09A1703","J09A_J","cgUZkZqWsQRvyxjHPiRUCUePLmeeEMRVsWwNSdP","Hagen","Vorhalle","58","58089","RyPvjZowfVPOenZDvDAKKpGRXdSsWqGxFZGKRkc","EVU","Standard nach Anzahl Stromzähler"
"RTTttHTOVL+sQrOBYjurrNQB/WOUSBRXJSouWMQ","SjfNQzlby+rYTB+mGgseqMTmniyPpYtGtfCWdbG","J09A6104","J09A","HpmcnyXVWBBLXZbGXJXXruVRRghZdqYRERK+QyZ","Neuenrade","Neuenrade","2","58809","XJXRRzIlPoZiQVEyuKXQVAjHpQmHQnTA+RkhEFK","EVU","Standard nach Anzahl Stromzähler"
"RnrvbQXURHZldkbZoZFRJDbTXZTaQJrGyzVKuvd","ZEywlWZ/rdkXVwqcB/AwQYffMeoUANTXmXErsQR","J09A4011","J09A_L","cFENzSgYmJbtDDqVOWbqKYRYTmZeOlTegDgsGSS","Lüdenscheid",,"25","58515","SksTCXPJmZDAzdcyZCwKawEUUqbSHcwbHMOYGUJ","KSA","Standard nach Anzahl Stromzähler"
"vqlTSVKhUGXXCcuAENfXQRPzXLQEhUFoyYESWT+","vqoqhpzweRcXpSQddvSNoxLzjWzRRjLQey+zVVt","J09A1701","J09A_J","AqcWe+RIcSaFMUKGWBPw/RYoXcoHVXxqB+gFGYR","Hagen","Vorhalle","6","58089","qQurKEWwUXvzkyBYbWVRYEiWbqWXCIsZgudNPUN","EVU","Standard nach Anzahl Stromzähler"
"ZpzzeaHHuZTeTKTBppDhuejhtYmcVoNjwUNIRLC","RXFaatBmUSaUlTBG/DwrwYDMQSB+WahtZZYGxUx","J09A1701","J09A_J","QZvNFIgMLDhiQSQDvwJgAYVZjpQArDT/ZwU+vpm","Hagen","Vorhalle","37","58089","qZTmRE/dfgPPEivhwJkCfbZVVFBEyWyGQbHXJgW","EVU","Standard nach Anzahl Stromzähler"
"mkbDZWVbNUCXUCDklUMlqqXfRPeJotWqpSMYGLM","jQZcJBbWwRcymSYbTrochzhADImUvBwNijM+HtE","J09A1704","J09A_J","qFvFdkggjyPRyYOXYYXNDeXyUgYMiWyUFfXktbg","Hagen","Vorhalle","4","58089","UTeNVIY/CS/q+HsZUHwWWvGXcGBrtTpxpEWNLsn","EVU","Standard nach Anzahl Stromzähler"
"WvPDWbUkuQXiOZlFbBSUsYYBVHFhyRBpWGcLTFc","apegqINrNyGJaygptUNV+R/BWHVRVUJtcWSPpFV","J09A4011","J09A_L","SueXtIVGHPwADShuleMYRwqfEPIVSYrXYwhINkX","Lüdenscheid",,"9","58515","UOscCwOoVa/zWyYUFooorPIuxZQtZfrhNpFgliV","KSA","Standard nach Anzahl Stromzähler"
"D/uRoxCWGpWScSBXJxPCUQFRpZXaoDSXSZ+kVzW","EsxUzVrczJXoZFTCPEYYUvfnUUeR+QXbjyDnoeU","J09A1701","J09A_J","xBooIQPYWorLEWTpGyEUnS/kOyAFQMQ/svSKpiT","Hagen","Vorhalle","42","58089","ELooZYWflQmVamBUQWUKYzJWiQkqeQNfXkzjASQ","EVU","Standard nach Anzahl Stromzähler"
